reaction,Q_keV,alpha,beta,gamma
annTOHe6g,975.452,1.0838002e+20,3,-11.319651
anpTOLi6g,3698.32,7.218177e+19,3,-42.917275
daTOLi6g,1473.76,1.530526e+10,1.5,-17.102256
ddTOHe3n,3268.91,1.7318296,0,-37.934112
ddTOag,23846.5,4.5291421e+10,1.5,-276.72749
ddTOtp,4032.66,1.7349209,0,-46.79712
dnTOtg,6257.23,1.6364264e+10,1.5,-72.61214
dpTOHe3g,5493.48,1.6335106e+10,1.5,-63.749131
npTOdg,2224.57,4.7161412e+09,1.5,-25.81502
ppnTOdp,2224.57,2.3580706e+09,1.5,-25.81502
taTOLi7g,2467.62,1.1132991e+10,1.5,-28.635562
tdTOan,17589.3,5.5354059,0,-204.11535
tpTOag,19813.9,2.6105756e+10,1.5,-229.93037
ttTOann,11332.1,3.3826183e-10,-1.5,-131.50321
