# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
3.213764E+00 -1.652910E-01 -2.080593E-01 -1.959613E-01
3.288774E+00 -1.814575E-01 -2.231075E-01 -2.052718E-01
3.365535E+00 -1.991977E-01 -2.392385E-01 -2.150223E-01
3.444087E+00 -2.186644E-01 -2.565301E-01 -2.252336E-01
3.524473E+00 -2.400250E-01 -2.750655E-01 -2.359274E-01
3.606735E+00 -2.634633E-01 -2.949339E-01 -2.471266E-01
3.690917E+00 -2.891809E-01 -3.162312E-01 -2.588551E-01
3.777064E+00 -3.173989E-01 -3.390598E-01 -2.711377E-01
3.865221E+00 -3.483598E-01 -3.635296E-01 -2.840007E-01
3.955436E+00 -3.823297E-01 -3.897584E-01 -2.974715E-01
4.047757E+00 -4.196002E-01 -4.178724E-01 -3.115787E-01
4.142232E+00 -4.604914E-01 -4.480068E-01 -3.263526E-01
4.238913E+00 -5.053542E-01 -4.803067E-01 -3.418244E-01
4.337850E+00 -5.545738E-01 -5.149273E-01 -3.580273E-01
4.439097E+00 -6.085724E-01 -5.520353E-01 -3.749956E-01
4.542706E+00 -6.678130E-01 -5.918089E-01 -3.927656E-01
4.648734E+00 -7.328037E-01 -6.344395E-01 -4.113751E-01
